area,year,month,agg_id,total_crimes
6,2015,4,725,23
19,2015,4,725,30
21,2018,6,850,70
6,2016,8,800,60
2,2017,10,1900,79
1,2018,11,750,149
5,2015,3,800,72
18,2018,11,300,128
9,2018,3,1900,58
4,2016,11,300,117
19,2018,12,300,102
19,2017,10,850,105
19,2017,9,400,38
1,2017,11,300,177
6,2018,7,775,216
10,2016,1,400,24
21,2016,2,725,35
7,2015,8,775,163
20,2016,1,2400,21
13,2015,6,750,73
12,2015,1,1700,34
12,2017,6,775,150
8,2015,10,800,89
21,2017,9,300,108
20,2015,11,400,43
10,2017,3,850,78
18,2018,4,1700,18
9,2017,3,750,148
15,2016,2,2400,21
21,2018,7,775,252
4,2018,3,2400,17
2,2015,5,800,22
1,2018,11,300,208
21,2016,1,725,20
18,2018,1,850,110
8,2018,10,775,215
14,2016,7,800,47
9,2015,12,400,33
18,2016,8,400,110
19,2015,9,725,20
6,2017,12,2400,15
13,2018,7,750,108
1,2015,3,800,26
3,2015,4,2400,37
16,2017,1,1700,12
20,2015,9,775,134
2,2015,12,300,116
12,2015,3,775,171
3,2018,6,800,52
2,2015,9,2400,25
19,2018,9,775,147
16,2015,3,725,13
